year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2020,New Hampshire,33,43.206898,-71.537994,FFS,36225,832,2.3,-0.31,-3.73,87,10.46,-1.54,1.32
2020,New Jersey,34,40.220596,-74.769913,FFS,340282,7255,2.13,-0.31,-2.91,1216,16.76,-3.01,-3.48
2020,New Mexico,35,35.68224,-105.939728,FFS,277925,7754,2.79,-1.43,-7.33,302,3.89,-0.2,1.48
2020,New York,36,42.652843,-73.757874,FFS,6605397,44983,0.68,-0.27,-1.26,5945,13.22,-0.49,0.2
2020,North Carolina,37,35.78043,-78.639099,FFS,13909805,456500,3.28,-0.07,-3.77,51604,11.3,-0.12,1.98
2020,North Dakota,38,46.82085,-100.783318,FFS,871794,27678,3.17,0.4,-2.59,829,3,-0.05,-5.12
2020,Ohio,39,39.961346,-82.999069,FFS,3065601,66018,2.15,-0.18,-2.61,5750,8.71,0.45,-0.06
2020,Oklahoma,40,35.492207,-97.503342,FFS,4989310,212249,4.25,-0.17,-3.38,16657,7.85,-0.23,-0.61
2020,Oregon,41,44.938461,-123.030403,FFS,2236395,11082,0.5,-0.39,-2.03,359,3.24,-12.33,-4.92
2020,Pennsylvania,42,40.264378,-76.883598,FFS,487577,5458,1.12,-0.07,-3.07,619,11.34,-4.3,1.84
2020,Rhode Island,44,41.830914,-71.414963,FFS,143618,1687,1.17,-0.13,-2.27,170,10.08,-2.85,-1.15
2020,South Carolina,45,34.000343,-81.033211,FFS,1045230,22970,2.2,-0.12,-2.06,2151,9.36,0.6,1.36
2020,South Dakota,46,44.367031,-100.346405,FFS,846905,24279,2.87,-0.17,-3.19,2305,9.49,-0.45,0.14
2020,Tennessee,47,36.16581,-86.784241,FFS,12029903,289078,2.4,-0.23,-5.68,10812,3.74,0.02,-3.09
2020,Texas,48,30.27467,-97.740349,FFS,752033,9150,1.22,-0.62,-0.5,386,4.22,0.72,-0.16
2020,Utah,49,40.777477,-111.888237,FFS,1330477,22649,1.7,-0.78,-3.36,1314,5.8,0.21,-4.74
2020,Vermont,50,44.262436,-72.580536,FFS,1438461,42758,2.97,,-4.06,,,,
2020,Virginia,51,37.538857,-77.43364,FFS,399232,55752,13.96,-3.82,10.53,51123,91.7,-0.23,84.25
2020,Washington,53,47.035805,-122.905014,FFS,628176,22465,3.58,-2.84,-6.6,1249,5.56,1.38,-1.6
2020,West Virginia,54,38.336246,-81.612328,FFS,8306590,167501,2.02,,-3.81,7012,4.19,,-1.41
2020,Wisconsin,55,43.074684,-89.384445,FFS,10660562,485330,4.55,-0.15,-3.98,110168,22.7,1.98,7.56
2020,Wyoming,56,41.140259,-104.820236,FFS,413935,17853,4.31,-0.12,-3.01,2107,11.8,0.95,2.1
2019,Alabama,1,32.377716,-86.300568,FFS,7230251,224310,3.1,-1.08,-3.23,10308,4.6,0.48,0.16
2019,Alaska,2,58.301598,-134.420212,FFS,1434139,65394,4.56,-1.2,-3.33,8268,12.64,-0.71,0.88
2019,Arizona,4,33.448143,-112.096962,FFS,153835,9829,6.39,-2.49,-9.61,595,6.05,0.16,-2.35
2019,Arkansas,5,34.746613,-92.288986,FFS,4251848,203686,4.79,-0.41,-2.65,7713,3.79,-1.02,-0.31
2019,California,6,38.576668,-121.493629,FFS,22741948,672787,2.96,-0.51,-2.77,60090,8.93,-0.01,0.4
2019,Colorado,8,39.739227,-104.984856,FFS,7064295,397709,5.63,-1.12,-5.47,36970,9.3,0,1.07
2019,Connecticut,9,41.764046,-72.682198,FFS,9252048,294479,3.18,-0.34,-3.56,22998,7.81,0.81,-1.7
2019,Delaware,10,39.157307,-75.519722,FFS,58798,1042,1.77,-0.15,-6.74,45,4.32,1.64,-12.55
2019,District of Columbia,11,38.89511,-77.03637,FFS,854759,25360,2.97,-0.28,-2.62,1679,6.62,-0.84,-2.67
2019,Florida,12,30.438118,-84.281296,FFS,1502320,20323,1.35,0.01,-3.34,1666,8.2,1.07,0.95
2019,Georgia,13,33.749027,-84.388229,FFS,7038485,350090,4.97,-0.48,-2.56,30625,8.75,-0.42,1.29
2019,Hawaii,15,21.307442,-157.857376,FFS,4891,674,13.78,,,0,0,,
2019,Idaho,16,43.617775,-116.199722,FFS,2322973,84108,3.62,-0.49,-4.25,6667,7.93,-0.57,-1.33
2019,Illinois,17,39.798363,-89.654961,FFS,2255280,45095,2,-1.1,-4.24,1281,2.84,-0.42,-0.51
2019,Indiana,18,39.768623,-86.162643,FFS,2047599,47209,2.31,-0.03,-5.9,3930,8.32,-1.79,0.49
2019,Iowa,19,41.591087,-93.603729,FFS,191448,9488,4.96,0.54,,3657,38.54,24.63,
2019,Kansas,20,39.048191,-95.677956,FFS,19410,311,1.6,0.14,-0.77,16,5.14,-5.74,-2.74
2019,Kentucky,21,38.186722,-84.875374,FFS,802763,10839,1.35,-0.84,-1.19,665,6.14,-0.29,-8.01
2019,Louisiana,22,30.457069,-91.187393,FFS,768902,7480,0.97,-0.15,-4.29,664,8.88,-1.9,5.35
2019,Maine,23,44.307167,-69.781693,FFS,2109869,71943,3.41,-0.36,-2.96,10105,14.05,-1.2,1.56
2019,Maryland,24,38.978764,-76.490936,FFS,4537247,24001,0.53,-0.11,-1.13,2782,11.59,0.29,-2.21
2019,Massachusetts,25,42.358162,-71.063698,FFS,7949305,176076,2.22,-0.33,-2.51,17916,10.18,0.09,0.53
2019,Michigan,26,42.733635,-84.555328,FFS,8507195,85239,1,-0.31,-2.33,6755,7.92,0.27,0.92
2019,Minnesota,27,44.955097,-93.102211,FFS,1915753,45228,2.36,-0.37,-3.24,4093,9.05,-0.69,0.4
2019,Mississippi,28,32.303848,-90.182106,FFS,924414,28805,3.12,-0.51,-0.83,2099,7.29,0.18,3.55
2019,Missouri,29,38.579201,-92.172935,FFS,10936865,354685,3.24,-0.73,-3.4,28104,7.92,-1.24,-0.8
2019,Montana,30,46.585709,-112.018417,FFS,3050636,300500,9.85,0.37,1.7,181069,60.26,9.53,48.9
2019,Nebraska,31,40.808075,-96.699654,FFS,8834,199,2.25,-1.8,-4.08,16,8.04,-4.24,-1.68
2019,Nevada,32,39.163914,-119.766121,FFS,1811432,107671,5.94,-0.6,-3.8,12252,11.38,-0.63,-0.72
2019,New Hampshire,33,43.206898,-71.537994,FFS,46544,1217,2.61,-0.57,-3.61,146,12,3.17,0.8
2019,New Jersey,34,40.220596,-74.769913,FFS,415001,10139,2.44,-0.53,-2.98,2004,19.77,0.06,-1.38
2019,New Mexico,35,35.68224,-105.939728,FFS,317266,13402,4.22,-1.13,-5.29,548,4.09,-0.11,1.92
2019,New York,36,42.652843,-73.757874,FFS,8419509,79871,0.95,-0.05,-1.09,10954,13.71,-0.61,-1.27
2019,North Carolina,37,35.78043,-78.639099,FFS,15521594,520458,3.35,-0.65,-3.98,59423,11.42,0.42,2.24
2019,North Dakota,38,46.82085,-100.783318,FFS,504720,13978,2.77,-0.48,-3.66,426,3.05,-1.35,-5.03
2019,Ohio,39,39.961346,-82.999069,FFS,3351255,77984,2.33,-0.13,-3.33,6442,8.26,-1.1,-0.8
2019,Oklahoma,40,35.492207,-97.503342,FFS,5357129,236836,4.42,-0.97,-3.91,19148,8.08,-0.82,1.03
2019,Oregon,41,44.938461,-123.030403,FFS,2100962,18779,0.89,-0.49,-2.33,2923,15.57,-8.01,8.15
2019,Pennsylvania,42,40.264378,-76.883598,FFS,858935,10204,1.19,-0.2,-2.79,1596,15.64,-0.86,-0.45
2019,Rhode Island,44,41.830914,-71.414963,FFS,151031,1957,1.3,-0.17,-3.03,253,12.93,-1.53,2.85
2019,South Carolina,45,34.000343,-81.033211,FFS,1094110,25398,2.32,-0.3,-2.43,2225,8.76,0.2,1.74
2019,South Dakota,46,44.367031,-100.346405,FFS,868823,26420,3.04,-0.67,-3.68,2627,9.94,-0.04,2.06
2019,Tennessee,47,36.16581,-86.784241,FFS,12467701,327769,2.63,-0.93,-5.29,12207,3.72,-0.46,-4.15
2019,Texas,48,30.27467,-97.740349,FFS,807219,14838,1.84,-0.52,-0.7,519,3.5,-0.29,-1.84
2019,Utah,49,40.777477,-111.888237,FFS,1289055,31985,2.48,0.18,-3.59,1789,5.59,-2.06,-4.39
2019,Vermont,50,44.262436,-72.580536,FFS,1451166,,,,,,,,
2019,Virginia,51,37.538857,-77.43364,FFS,586711,104328,17.78,7.02,13.84,95912,91.93,5.98,81.97
2019,Washington,53,47.035805,-122.905014,FFS,850513,54596,6.42,-1.93,-4.2,2283,4.18,0.13,-4.14
2019,West Virginia,54,38.336246,-81.612328,FFS,8934688,,,,,,,,
2019,Wisconsin,55,43.074684,-89.384445,FFS,10644908,500501,4.7,-0.7,-4.17,103693,20.72,0.92,6.63
2019,Wyoming,56,41.140259,-104.820236,FFS,442428,19614,4.43,-0.51,-3.37,2128,10.85,0.94,0.66
2018,Alabama,1,32.377716,-86.300568,FFS,7320348,306107,4.18,-0.67,-1.86,12598,4.12,-0.26,-0.21
2018,Alaska,2,58.301598,-134.420212,FFS,1396855,80393,5.76,-0.74,-1.9,10735,13.35,0.86,1.22
2018,Arizona,4,33.448143,-112.096962,FFS,140003,12439,8.88,-2.94,-5.92,733,5.89,0,-3.63
2018,Arkansas,5,34.746613,-92.288986,FFS,4922620,256152,5.2,,-1.42,12308,4.81,,0.42
2018,California,6,38.576668,-121.493629,FFS,23694257,821135,3.47,-0.68,-1.91,73401,8.94,0.03,-1.57
2018,Colorado,8,39.739227,-104.984856,FFS,7425443,501250,6.75,-1.41,-4.31,46595,9.3,-0.01,-0.23
2018,Connecticut,9,41.764046,-72.682198,FFS,9332386,328216,3.52,-0.78,-3.5,22988,7,-1.09,-2.09
2018,Delaware,10,39.157307,-75.519722,FFS,71918,1379,1.92,-0.68,-6.83,37,2.68,-1.21,-14.26
2018,District of Columbia,11,38.89511,-77.03637,FFS,887746,28855,3.25,-0.52,-2.3,2154,7.46,-0.33,-1.12
2018,Florida,12,30.438118,-84.281296,FFS,2383161,31912,1.34,-0.48,-3.76,2275,7.13,0.62,-0.47
2018,Georgia,13,33.749027,-84.388229,FFS,7065679,384869,5.45,-0.56,-2.34,35291,9.17,-0.1,2.04
2018,Hawaii,15,21.307442,-157.857376,FFS,5905,,,,,,,,
2018,Idaho,16,43.617775,-116.199722,FFS,2365543,97332,4.11,-1.17,-4.17,8277,8.5,-0.63,-0.66
2018,Illinois,17,39.798363,-89.654961,FFS,3917158,121354,3.1,-1.65,-2.69,3962,3.26,0.21,-0.53
2018,Indiana,18,39.768623,-86.162643,FFS,1885351,44208,2.34,-0.13,,4470,10.11,-1.09,
2018,Iowa,19,41.591087,-93.603729,FFS,294984,13043,4.42,-0.82,,1814,13.91,7.75,
2018,Kansas,20,39.048191,-95.677956,FFS,19482,285,1.46,-0.9,-3.56,31,10.88,-7.96,-2.78
