year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2018,Louisiana,22,30.457069,-91.187393,All,18860115,734775,3.9,-1.11,-2.7,15474,2.11,-0.29,-1.11
2018,Maine,23,44.307167,-69.781693,All,1902625,71780,3.77,-0.27,-3.11,10949,15.25,-0.25,5.33
2018,Maryland,24,38.978764,-76.490936,All,13986661,600885,4.3,-0.96,-3.02,64548,10.74,-0.86,1.18
2018,Massachusetts,25,42.358162,-71.063698,All,16444982,430522,2.62,-0.57,-3.37,41252,9.58,-0.17,-0.17
2018,Michigan,26,42.733635,-84.555328,All,28620141,1328612,4.64,-1.38,-4.06,76458,5.75,0,-0.32
2018,Minnesota,27,44.955097,-93.102211,All,11968054,403006,3.37,-0.77,-3.54,32197,7.99,-0.81,0.17
2018,Mississippi,28,32.303848,-90.182106,All,5430130,246032,4.53,-1.03,-2.98,11452,4.65,-0.04,1.3
2018,Missouri,29,38.579201,-92.172935,All,11248390,447039,3.97,-0.91,-2.9,40950,9.16,-0.42,0.74
2018,Montana,30,46.585709,-112.018417,All,2932299,277969,9.48,2.78,1.05,141021,50.73,38.68,38.52
2018,Nebraska,31,40.808075,-96.699654,All,2685991,105388,3.92,-0.48,-2.5,12923,12.26,0.03,2.95
2018,Nevada,32,39.163914,-119.766121,All,6743954,355621,5.27,-2.03,-4.1,32267,9.07,0.52,-1.73
2018,New Hampshire,33,43.206898,-71.537994,All,1457118,38477,2.64,-0.58,-4.01,5483,14.25,-0.22,0.82
2018,New Jersey,34,40.220596,-74.769913,All,19024079,561801,2.95,-0.67,-1.79,49065,8.73,-0.56,-0.93
2018,New Mexico,35,35.68224,-105.939728,All,5760819,269377,4.68,-0.86,-3.01,10473,3.89,-0.45,-3.48
2018,New York,36,42.652843,-73.757874,All,66242615,1323843,2,-0.48,-1.6,111190,8.4,-0.68,-0.31
2018,North Carolina,37,35.78043,-78.639099,All,15334132,613662,4,-1.55,-3.85,67503,11,1.18,1.91
2018,North Dakota,38,46.82085,-100.783318,All,970254,37137,3.83,-0.99,-2.95,1610,4.34,-1.96,-4.36
2018,Ohio,39,39.961346,-82.999069,All,43030061,1290387,3,-1.19,-4.6,69216,5.36,0.07,-0.88
2018,Oklahoma,40,35.492207,-97.503342,All,5594019,301559,5.39,-1.03,-3.45,26848,8.9,-0.48,2.6
2018,Oregon,41,44.938461,-123.030403,All,9128530,442781,4.85,-1.38,-4.94,27773,6.27,-1.15,-3.79
2018,Pennsylvania,42,40.264378,-76.883598,All,33757168,925613,2.74,-1.5,-3.95,84711,9.15,0.14,0.13
2018,Rhode Island,44,41.830914,-71.414963,All,3509994,88601,2.52,-0.83,-2.77,6777,7.65,0.74,-0.06
2018,South Carolina,45,34.000343,-81.033211,All,6572749,233689,3.56,-1.28,-3.31,17101,7.32,0.9,1.29
2018,South Dakota,46,44.367031,-100.346405,All,883742,32785,3.71,-1.07,-3.61,3272,9.98,0.23,1.76
2018,Tennessee,47,36.16581,-86.784241,All,12857336,439502,3.42,-2.46,-5.76,18354,4.18,-0.33,-3.97
2018,Texas,48,30.27467,-97.740349,All,31001509,890992,2.87,-0.47,-2.13,43041,4.83,-0.42,0.73
2018,Utah,49,40.777477,-111.888237,All,2493470,120134,4.82,-1.09,-3.13,12461,10.37,-0.82,1.43
2018,Vermont,50,44.262436,-72.580536,All,1496974,60520,4.04,-0.91,-4.81,9175,15.16,-0.03,1.15
2018,Virginia,51,37.538857,-77.43364,All,11094725,726937,6.55,2.37,-0.4,463103,63.71,47.21,56.62
2018,Washington,53,47.035805,-122.905014,All,14259809,715536,5.02,-1.17,-3.8,56601,7.91,-0.33,-3.24
2018,West Virginia,54,38.336246,-81.612328,All,9484701,258932,2.73,-0.89,-4.19,10468,4.04,-0.83,-1.5
2018,Wisconsin,55,43.074684,-89.384445,All,10952680,591217,5.4,-1.05,-3.45,117200,19.82,1.28,6.43
2018,Wyoming,56,41.140259,-104.820236,All,473451,23396,4.94,-0.91,-2.84,2318,9.91,0.49,-0.36
2017,Alabama,1,32.377716,-86.300568,All,7378771,357609,4.85,-0.52,,15659,4.38,-0.41,
2017,Alaska,2,58.301598,-134.420212,All,1502878,97745,6.5,-1.4,,12207,12.49,0.9,
2017,Arizona,4,33.448143,-112.096962,All,16068406,969145,6.03,-1.26,,90771,9.37,-1.46,
2017,Arkansas,5,34.746613,-92.288986,All,5054536,320668,6.34,-0.54,,18529,5.78,0.38,
2017,California,6,38.576668,-121.493629,All,88707972,3961483,4.47,-0.68,,256744,6.48,0.11,
2017,Colorado,8,39.739227,-104.984856,All,8282553,674324,8.14,-0.95,,62300,9.24,0.38,
2017,Connecticut,9,41.764046,-72.682198,All,9185076,395289,4.3,-0.87,,31973,8.09,-1.37,
2017,Delaware,10,39.157307,-75.519722,All,2445300,109681,4.49,-0.88,,18376,16.75,0.62,
2017,District of Columbia,11,38.89511,-77.03637,All,2211298,84548,3.82,-0.55,,3931,4.65,-0.31,
2017,Florida,12,30.438118,-84.281296,All,29570324,1211987,4.1,-0.41,,84204,6.95,0.18,
2017,Georgia,13,33.749027,-84.388229,All,16364730,845916,5.17,-0.64,,49793,5.89,0.68,
2017,Hawaii,15,21.307442,-157.857376,All,2687441,147616,5.49,-0.67,,15421,10.45,0.6,
2017,Idaho,16,43.617775,-116.199722,All,2324545,122710,5.28,-0.84,,11205,9.13,-0.32,
2017,Illinois,17,39.798363,-89.654961,All,28011845,1319967,4.71,-0.87,,46782,3.54,-0.24,
2017,Indiana,18,39.768623,-86.162643,All,15522656,822481,5.3,-1.1,,47426,5.77,-0.57,
